group,item_num,empty_weight,before_wet_weight,before_dry_weight,after_dry_weight,wet_sauce_weight_original,wet_sauce_weight_removed,dry_sauce_weight_remaining,dry_sauce_weight_removed,water_moisture_percent
dawn_scotchbrite,1,689.2,709.5,693.19,690.18,20.3,16.31,0.98,3.01,0.8034482759
dawn_scotchbrite,2,714.41,734.48,718.48,715.52,20.07,16,1.11,2.96,0.7972097658
dawn_scotchbrite,3,659.4,679.42,663.81,660.65,20.02,15.61,1.25,3.16,0.7797202797
ramie_ecos,1,689.2,709.13,698.52,689.53,19.93,10.61,0.33,8.99,0.5323632715
ramie_ecos,2,714.41,734.34,725.49,714.64,19.93,8.85,0.23,10.85,0.4440541897
ramie_ecos,3,659.4,679.53,667.94,659.74,20.13,11.59,0.34,8.2,0.5757575758
ramie_block,1,689.2,709.37,695.55,689.73,20.17,13.82,0.53,5.82,0.685176004
ramie_block,2,714.41,734.79,722.85,714.71,20.38,11.94,0.3,8.14,0.5858684985
ramie_block,3,659.4,679.44,667.49,659.82,20.04,11.95,0.42,7.67,0.5963073852
